topic_id,category_top1,topic_desc
76,Physics and Astronomy,"Tópico 76. Palabras clave: disk, dust, protoplanetary, disks, disc, planet, spiral, inner, pds, planets"
77,Energy,"Tópico 77. Palabras clave: battery, ion, batteries, lithium, discharge, degradation, soc, charge, state, li"
78,Physics and Astronomy,"Tópico 78. Palabras clave: stars, cepheids, lyrae, rr, blazhko, period, galactic, variables, pulsation, milky"
79,Pharmacology,"Tópico 79. Palabras clave: liver, hfd, steatosis, hepatic, nafld, fatty, fat, lcpufa, diet, supplementation"
80,Dentistry,"Tópico 80. Palabras clave: oral, oscc, carcinoma, squamous, cancer, dysplasia, catenin, cell, salivary, carcinogenesis"
81,Energy,"Tópico 81. Palabras clave: thermal, energy, heating, storage, heat, pcm, microwave, bischofite, buildings, temperature"
82,Immunology and Microbiology,"Tópico 82. Palabras clave: maclovinus, eleginops, noatunensis, fish, salmonis, francisella, stress, injection, response, notothenioid"
83,Economics,"Tópico 83. Palabras clave: income, economic, poverty, crisis, chile, savings, economy, trade, vulnerability, inequality"
84,Mathematics,"Tópico 84. Palabras clave: nematic, localized, front, propagation, fronts, instability, states, dynamics, transition, pattern"
85,Agricultural and Biological Sciences,"Tópico 85. Palabras clave: fruit, ripening, strawberry, wall, genes, ananassa, fragaria, ja, biosynthesis, anthocyanin"
86,Earth and Planetary Sciences,"Tópico 86. Palabras clave: whales, whale, humpback, fin, killer, watching, dw, feeding, lfpw, acoustic"
87,Physics and Astronomy,"Tópico 87. Palabras clave: ngc, globular, cluster, clusters, stars, bulge, abundances, metallicity, fe, gcs"
88,Decision Sciences,"Tópico 88. Palabras clave: mining, copper, mine, pit, mines, exploration, pushbacks, ore, energy, tailings"
89,Agricultural and Biological Sciences,"Tópico 89. Palabras clave: mycorrhizal, fungi, amf, arbuscular, fungal, am, plant, colonization, orchid, soil"
90,Earth and Planetary Sciences,"Tópico 90. Palabras clave: groundwater, recharge, isotopic, aquifer, atacama, water, iodine, arid, desert, tuyajto"
91,Chemistry,"Tópico 91. Palabras clave: peptides, trp, peptide, tyr, radicals, protein, peroxyl, roo, oxidation, aaph"
92,Psychology,"Tópico 92. Palabras clave: psychotherapy, therapeutic, alliance, therapists, psychotherapeutic, personality, change, therapist, depressive, depression"
93,Agricultural and Biological Sciences,"Tópico 93. Palabras clave: thermal, pco2, tolerance, embryos, temperature, temperatures, warming, intertidal, mussel, heat"
94,Social Sciences,"Tópico 94. Palabras clave: disaster, disasters, natural, socio, earthquake, social, community, urban, vulnerability, place"
95,Arts and Humanities,"Tópico 95. Palabras clave: title, keywords, abstract, marilyn, afterword, casi, tekné, techne, landolfi, todo"
96,Chemical Engineering,"Tópico 96. Palabras clave: rubber, biodegradation, isoprene, cis, degradation, poly, phb, latex, vh2, bionanocomposites"
97,Arts and Humanities,"Tópico 97. Palabras clave: editorial, preface, introduction, title, keywords, abstract, deionization, capacitive, hypsometry, numéro"
98,Psychology,"Tópico 98. Palabras clave: students, self, academic, university, learning, motivation, ethic, motivational, student, doctoral"
99,Biochemistry,"Tópico 99. Palabras clave: muscle, ang, skeletal, tgf, angiotensin, mas, atrophy, β1, induced, progenitors"
100,Computer Science,"Tópico 100. Palabras clave: neural, slam, saliency, networks, object, classification, deep, learning, training, convolutional"
101,Nursing,"Tópico 101. Palabras clave: covid, 19, pandemic, care, perception, behaviors, latin, measures, adherence, norms"
102,Physics and Astronomy,"Tópico 102. Palabras clave: cosmological, inflation, universe, cosmology, gravity, field, theory, scalar, formula, inflationary"
103,Chemical Engineering,"Tópico 103. Palabras clave: catalysts, catalyst, hydrogenation, catalytic, pt, pd, reaction, ni, supported, tio2"
104,Materials Science,"Tópico 104. Palabras clave: metallic, glasses, shear, mgs, cuzr, mechanical, rejuvenation, atomic, plastic, dynamics"
105,Physics and Astronomy,"Tópico 105. Palabras clave: supersymmetry, gluino, squarks, tev, search, supersymmetric, gluinos, jets, lightest, missing"
106,Environmental Science,"Tópico 106. Palabras clave: soil, cu, copper, soils, loid, metal, contamination, contaminated, pesticides, eas"
107,Energy,"Tópico 107. Palabras clave: solar, pv, power, photovoltaic, energy, grid, maximum, modules, tracking, generation"
108,Health Professions,"Tópico 108. Palabras clave: cardiac, heart, atrial, fibrillation, fhr, purkinje, ctg, qt, electrophysiology, drug"
109,Materials Science,"Tópico 109. Palabras clave: dielectric, poly, polymers, polymer, dipolar, azomethine, glass, materials, thermal, containing"
110,Environmental Science,"Tópico 110. Palabras clave: soil, soils, pasture, maize, pastures, grazing, water, volcanic, cm, dung"
111,Dentistry,"Tópico 111. Palabras clave: teeth, tooth, pulp, dental, endodontic, endodontics, apical, dentin, regenerative, immature"
112,Biochemistry,"Tópico 112. Palabras clave: arabidopsis, stress, nitrate, plants, plant, thaliana, growth, salt, tolerance, sa"
113,Nursing,"Tópico 113. Palabras clave: infant, mortality, ebf, infants, 1930, santiago, birth, breastfeeding, prevalence, pregnancy"
114,Physics and Astronomy,"Tópico 114. Palabras clave: jet, pb, collisions, jets, pp, momentum, fragmentation, transverse, charged, tev"
115,Medicine,"Tópico 115. Palabras clave: syndrome, fmr1, variants, fxs, intellectual, mvs, fm, fragile, fkbp5, deafness"
116,Biochemistry,"Tópico 116. Palabras clave: channels, voltage, channel, ca2, gating, bk, hemichannels, spak, unx1, osr1"
117,Arts and Humanities,"Tópico 117. Palabras clave: music, musical, mapuche, música, guitar, education, ritual, sound, sociomusical, popular"
118,Physics and Astronomy,"Tópico 118. Palabras clave: higgs, boson, pair, resonant, bb, production, standard, search, atlas, tev"
119,Chemical Engineering,"Tópico 119. Palabras clave: electrode, electrodes, electrochemical, orr, reaction, glassy, electrocatalytic, oxidation, carbon, nitrite"
120,Medicine,"Tópico 120. Palabras clave: temporomandibular, tmj, joint, cartilage, articular, oa, osteoarthritis, ha, mandibular, condylar"
121,Computer Science,"Tópico 121. Palabras clave: robot, robots, robotic, programming, tracking, live, mobile, debugging, detection, object"
122,Veterinary,"Tópico 122. Palabras clave: sperm, spermatozoa, motility, membrane, semen, integrity, pmn, nets, vitrification, ros"
123,Neuroscience,"Tópico 123. Palabras clave: autism, asd, autistic, disorder, children, spectrum, social, communication, processing, alexithymia"
124,Physics and Astronomy,"Tópico 124. Palabras clave: higgs, boson, decay, zz, proton, fusion, cross, sections, atlas, 4ℓ"
125,Chemical Engineering,"Tópico 125. Palabras clave: voltammetry, electrode, stripping, electrochemical, graphene, rgo, determination, anodic, modified, detection"
126,Physics and Astronomy,"Tópico 126. Palabras clave: planets, planet, radial, stars, satellites, planetary, giant, orbiting, hd, star"
127,Energy,"Tópico 127. Palabras clave: microgrids, microgrid, ac, distributed, control, dc, predictive, power, dispatch, grid"
128,Agricultural and Biological Sciences,"Tópico 128. Palabras clave: penguins, trace, penguin, elements, metals, feathers, seabirds, rees, antarctic, excreta"
129,Pharmacology,"Tópico 129. Palabras clave: alzheimer, ache, ad, acetylcholinesterase, disease, inhibitors, compounds, butyrylcholinesterase, aβ, erythrocyte"
130,Agricultural and Biological Sciences,"Tópico 130. Palabras clave: rot, apple, alternaria, fruit, isolates, botryosphaeriaceae, california, pathogenicity, dieback, canker"
131,Chemical Engineering,"Tópico 131. Palabras clave: anaerobic, removal, sludge, hssf, denitrification, nitrogen, organic, mn, autotrophic, digestion"
132,Engineering,"Tópico 132. Palabras clave: froth, flotation, bubble, foam, bubbles, pept, staircase, impeller, size, front"
133,Immunology and Microbiology,"Tópico 133. Palabras clave: salmonella, phages, infantis, isolates, resistance, esbl, resistant, phage, coli, multidrug"
134,Neuroscience,"Tópico 134. Palabras clave: aβ, amyloid, alzheimer, ad, synaptic, membrane, oligomers, disease, hippocampal, peptide"
135,Arts and Humanities,"Tópico 135. Palabras clave: writing, reading, language, comprehension, academic, literacy, students, lebesgue, texts, skills"
136,Neuroscience,"Tópico 136. Palabras clave: stroke, stimulation, heteronymous, gait, motor, rehabilitation, ischemic, synergies, uric, quadriceps"
137,Psychology,"Tópico 137. Palabras clave: satisfaction, life, happiness, students, family, swls, university, scale, optimism, being"
138,Materials Science,"Tópico 138. Palabras clave: cspbbr3, perovskite, perovskites, solar, dyads, halide, c60, porphyrin, dye, films"
139,Business,"Tópico 139. Palabras clave: pandemic, construction, covid, 19, wfh, commuting, home, working, workers, companies"
140,Medicine,"Tópico 140. Palabras clave: hf, chf, heart, cb, chemoreflex, failure, cardiac, carotid, breathing, rats"
141,Computer Science,"Tópico 141. Palabras clave: vlc, rf, hybrid, radio, network, communication, spectrum, visible, tvws, networks"
142,Immunology and Microbiology,"Tópico 142. Palabras clave: acidithiobacillus, acidihalobacter, genome, acidophilic, ferrooxidans, sulfur, acidithiobacillia, acidophiles, dsm, genus"
143,Immunology and Microbiology,"Tópico 143. Palabras clave: hrsv, hmpv, respiratory, syncytial, virus, infection, metapneumovirus, vaccine, viral, tract"
144,Pharmacology,"Tópico 144. Palabras clave: cardiac, cf, reperfusion, ischemia, myocardial, fibroblasts, cardioprotective, heart, msc, fibroblast"
145,Energy,"Tópico 145. Palabras clave: soot, flame, flames, laminar, fraction, volume, temperature, coflow, lii, maturity"
146,Biochemistry,"Tópico 146. Palabras clave: endothelial, ecs, inflammatory, platelets, endotoxin, ox, inflammation, ldl, fibrosis, vascular"
147,Medicine,"Tópico 147. Palabras clave: covid, 19, patients, vaccine, conspiracy, severe, sars, cov, acute, symptoms"
148,Engineering,"Tópico 148. Palabras clave: lens, db, ghz, fresnel, gain, terahertz, sdm, dichroic, antennas, antenna"
149,Veterinary,"Tópico 149. Palabras clave: perfringens, clostridium, cpe, nani, enteritis, intestinal, toxin, horses, enterotoxin, sordellii"
150,Biochemistry,"Tópico 150. Palabras clave: cortisol, trout, rainbow, doc, fish, mykiss, glucocorticoid, oncorhynchus, gr, initiated"
151,Physics and Astronomy,"Tópico 151. Palabras clave: tev, mass, bs0, proton, search, limits, resonances, fb, atlas, decay"
152,Psychology,"Tópico 152. Palabras clave: teachers, emotional, teacher, regulation, child, children, self, preschool, emotions, school"
153,Computer Science,"Tópico 153. Palabras clave: networked, controller, stability, communication, network, erasure, control, reliability, ohl, ncss"
154,Immunology and Microbiology,"Tópico 154. Palabras clave: uc, ibd, colitis, intestinal, st2, ulcerative, lrh, bowel, 33, inflammatory"
155,Physics and Astronomy,"Tópico 155. Palabras clave: top, quark, cross, proton, section, atlas, hadron, boson, detector, formula"
156,Physics and Astronomy,"Tópico 156. Palabras clave: chargino, neutralino, lightest, charginos, supersymmetric, gev, inlinemediaobject, electroweak, production, masses"
157,Dentistry,"Tópico 157. Palabras clave: periodontitis, periodontal, actinomycetemcomitans, serotypes, gingivalis, methylglyoxal, serotype, resorption, gingival, il"
158,Medicine,"Tópico 158. Palabras clave: gbc, gallbladder, ancestry, cancer, risk, gallstones, mapuche, dysplasia, gallstone, american"
159,Agricultural and Biological Sciences,"Tópico 159. Palabras clave: viticulture, berry, grapevine, grape, varieties, rootstocks, vineyard, leaf, rootstock, shading"
160,Health Professions,"Tópico 160. Palabras clave: jump, plyometric, endurance, players, training, soccer, explosive, strength, performance, sprint"
161,Physics and Astronomy,"Tópico 161. Palabras clave: jets, proton, jet, cross, sections, tev, atlas, hadron, detector, transverse"
162,Business,"Tópico 162. Palabras clave: team, teams, pcf, organizational, decent, psychological, leadership, job, contract, affective"
163,Physics and Astronomy,"Tópico 163. Palabras clave: teleparallel, gravity, theories, torsion, cosmology, cosmological, theory, noether, relativity, scalar"
164,Business,"Tópico 164. Palabras clave: consumers, consumer, food, foods, origin, segments, ffs, purchase, consumption, ethnic"
165,Neuroscience,"Tópico 165. Palabras clave: ethanol, alcohol, glycine, glyrs, mice, α1, intake, drinking, accumbens, α2"
166,Neuroscience,"Tópico 166. Palabras clave: conditioning, igt, cs, humor, pavlovian, fear, stimulus, anxiety, os, task"
167,Multidisciplinary,"Tópico 167. Palabras clave: ancestry, americans, facial, admixture, latin, dental, genetic, admixed, european, genome"
168,Chemical Engineering,"Tópico 168. Palabras clave: molybdenite, flotation, copper, seawater, molybdenum, chalcopyrite, lignosulfonates, kaolinite, depressing, ions"
169,Agricultural and Biological Sciences,"Tópico 169. Palabras clave: sasl, sea, prey, hake, abundance, sardine, lion, ssl, anchovy, marine"
170,Business,"Tópico 170. Palabras clave: food, foods, motivations, dish, choices, eating, mindfulness, consumers, choice, familiarity"
171,Immunology and Microbiology,"Tópico 171. Palabras clave: zebrafish, spine, neutrophils, caudal, danio, rerio, ais, parapineal, aquaculture, fish"
172,Materials Science,"Tópico 172. Palabras clave: chitosan, films, gold, cs, film, nanoparticles, pote, nanocomposite, chitin, biobased"
173,Nursing,"Tópico 173. Palabras clave: covid, 19, mental, pandemic, healthcare, health, workers, hcws, distress, depressive"
174,Chemical Engineering,"Tópico 174. Palabras clave: impregnation, pla, supercritical, thymol, scco2, cinnamaldehyde, films, release, packaging, incorporation"
175,Engineering,"Tópico 175. Palabras clave: magnet, machine, synchronous, isc, machines, permanent, torque, rotor, stator, ipmsm"
176,Earth and Planetary Sciences,"Tópico 176. Palabras clave: deposits, magnetite, apatite, ioa, iocg, hydrothermal, candelaria, mineralization, deposit, iron"
177,Veterinary,"Tópico 177. Palabras clave: sperm, spermatozoa, motility, cryopreservation, salmo, semen, salar, membrane, salmon, atlantic"
178,Veterinary,"Tópico 178. Palabras clave: prgs, horses, equine, dogs, lr, collagen, vertebral, tgfβ, navicular, canine"
179,Physics and Astronomy,"Tópico 179. Palabras clave: tev, phenomena, search, hadron, limits, proton, missing, atlas, transverse, jet"
180,Immunology and Microbiology,"Tópico 180. Palabras clave: stec, shiga, shigella, toxin, strains, flexneri, coli, escherichia, vaccine, laa"
181,Computer Science,"Tópico 181. Palabras clave: bundles, tractography, bundle, fiber, fibers, white, clustering, matter, subject, subjects"
182,Materials Science,"Tópico 182. Palabras clave: magnetic, dft, spin, nanotubes, fe3o4, coni, nanowires, electronic, properties, magnetization"
183,Social Sciences,"Tópico 183. Palabras clave: women, feminist, advertising, representation, academia, gender, political, mujer, magazines, magazine"
184,Psychology,"Tópico 184. Palabras clave: environmental, sustainability, mindfulness, pro, social, education, epi, osf, biotrade, ethics"
185,Computer Science,"Tópico 185. Palabras clave: networks, network, contagion, boolean, simplicial, centrality, synchronization, spreading, interactions, reciprocity"
186,Physics and Astronomy,"Tópico 186. Palabras clave: lensing, galaxy, des, redshift, cosmological, dark, y3, s8, shear, weak"
187,Psychology,"Tópico 187. Palabras clave: mindfulness, emotion, compassion, attachment, regulation, reappraisal, emotional, lpp, emotions, meditation"
188,Physics and Astronomy,"Tópico 188. Palabras clave: photon, parton, photons, collisions, qcd, tev, inclusive, cross, pseudorapidity, scattering"
189,Chemical Engineering,"Tópico 189. Palabras clave: oxidation, anodic, bdd, mineralization, wastewater, dye, diamond, boron, degradation, textile"
190,Earth and Planetary Sciences,"Tópico 190. Palabras clave: fossil, seals, shark, sharks, seal, neogene, pacific, record, pliocene, south"
191,Materials Science,"Tópico 191. Palabras clave: antibacterial, nanoparticles, silver, agnps, nps, antimicrobial, ag, nanocomposites, nanocomposite, pbat"
192,Psychology,"Tópico 192. Palabras clave: child, mother, children, intervention, mindfulness, socioemotional, emotional, parental, mothers, interventions"
193,Physics and Astronomy,"Tópico 193. Palabras clave: polarization, ray, neutron, pulsar, magnetars, polarimetry, emission, stars, rays, ixpe"
194,Immunology and Microbiology,"Tópico 194. Palabras clave: vibrio, scallop, purpuratus, immune, scallops, hemocytes, apbd1, defensin, argopecten, larvae"
195,Computer Science,"Tópico 195. Palabras clave: fuzzy, interactive, clustering, numbers, extension, vector, rough, interval, outlier, principle"
196,Physics and Astronomy,"Tópico 196. Palabras clave: stars, binaries, binary, ogle, stellar, ecl, spectroscopic, massive, orbital, disk"
197,Computer Science,"Tópico 197. Palabras clave: moocs, mooc, learners, course, srl, courses, learning, online, self, massive"
198,Environmental Science,"Tópico 198. Palabras clave: fishing, fisheries, fishery, fishers, artisanal, recreational, catch, management, fish, aquaculture"
199,Agricultural and Biological Sciences,"Tópico 199. Palabras clave: aphid, aphids, endosymbionts, host, avenae, persicae, parasitoids, parasitoid, sitobion, insecticola"
200,Computer Science,"Tópico 200. Palabras clave: passengers, boarding, train, alighting, passenger, platform, metro, stations, station, doors"
201,Pharmacology,"Tópico 201. Palabras clave: gold, nanoparticles, gnpr, nanorods, delivery, peptide, brain, gns, gnp, aggregation"
202,Physics and Astronomy,"Tópico 202. Palabras clave: toi, planet, transiting, neptune, planets, ngts, hot, radius, tess, period"
203,Agricultural and Biological Sciences,"Tópico 203. Palabras clave: genetic, connectivity, larval, sg, ei, islands, dispersal, concholepas, reefs, marine"
204,Computer Science,"Tópico 204. Palabras clave: optical, elastic, networks, allocation, spectrum, routing, ber, network, assignment, multiband"
205,Chemical Engineering,"Tópico 205. Palabras clave: adsorption, arsenic, removal, scorodite, phosphorene, oxidation, iii, metal, arsenopyrite, gac"
206,Biochemistry,"Tópico 206. Palabras clave: actin, pkd2, autophagy, becn1, herpud1, er, cilium, protein, ubl, prpk"
207,Dentistry,"Tópico 207. Palabras clave: canal, maxillary, mandibular, mb2, cbct, root, cone, mesiobuccal, tomography, beam"
208,Environmental Science,"Tópico 208. Palabras clave: soil, soils, soc, organic, sequestration, carbon, no3, volcanic, fractions, ultisol"
209,Veterinary,"Tópico 209. Palabras clave: embryos, blastocysts, embryo, bovine, blastocyst, icsi, oct4, smgt, expression, oocytes"
210,Immunology and Microbiology,"Tópico 210. Palabras clave: tilapia, nile, snps, snp, farmed, niloticus, oreochromis, genome, genomic, gift"
211,Physics and Astronomy,"Tópico 211. Palabras clave: quarks, quark, vector, vectorlike, tev, limits, search, gev, like, jets"
212,Veterinary,"Tópico 212. Palabras clave: bone, huemul, digging, bones, deer, subterranean, patagonian, bathyergus, mammals, bathyergidae"
213,Veterinary,"Tópico 213. Palabras clave: broiler, residues, ms, feathers, poultry, droppings, otc, chickens, oxytetracycline, antimicrobial"
214,Energy,"Tópico 214. Palabras clave: flame, spread, fire, pressure, microgravity, ambient, spacecraft, oxygen, pmma, flammability"
